City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,8.84,84,64,0.45,US,1707613827
1,avarua,-21.2078,-159.775,29.03,70,75,6.17,CK,1707614031
2,trujillo,-8.116,-79.03,23.98,83,40,5.14,PE,1707613872
3,polyarnyy,69.1989,33.4478,-11.07,92,100,2.21,RU,1707614031
4,saguenay,48.4168,-71.0657,1.16,94,98,2.67,CA,1707613968
5,hawaiian paradise park,19.5933,-154.9731,26.69,71,0,4.63,US,1707614032
6,adamstown,-25.066,-130.1015,25.45,88,96,12.49,PN,1707614032
7,kindu,-2.95,25.95,21.87,88,100,1.58,CD,1707614032
8,margate,51.3813,1.3862,7.39,95,100,3.44,GB,1707614032
9,vorgashor,67.5833,63.95,-26.62,100,100,2.2,RU,1707614032
10,port-aux-francais,-49.35,70.2167,8.15,97,100,11.96,TF,1707614032
11,sisimiut,66.9395,-53.6735,-19.08,89,100,3.58,GL,1707614032
12,katsuura,35.1333,140.3,9.03,54,97,4.79,JP,1707613946
13,thompson,55.7435,-97.8558,-16.91,92,75,0.0,CA,1707614032
14,constantia,44.1833,28.65,12.61,62,100,5.3,RO,1707614032
15,saint-francois,46.4154,3.9054,5.93,87,100,2.06,FR,1707614033
16,saint-philippe,-21.3585,55.7679,24.77,93,91,2.33,RE,1707614033
17,kone,-21.0595,164.8658,30.28,61,60,3.63,NC,1707614033
18,chahar burj,34.2448,62.1917,9.1,29,100,2.49,AF,1707614033
19,mont-laurier,46.5501,-75.4993,2.79,98,100,2.61,CA,1707614033
20,tangalle,6.024,80.7911,23.09,73,100,5.93,LK,1707614033
21,neiafu,-18.65,-173.9833,28.4,75,100,1.84,TO,1707614033
22,margaret river,-33.95,115.0667,22.06,69,6,5.55,AU,1707614033
23,ilulissat,69.2167,-51.1,-14.99,43,100,5.66,GL,1707614033
24,dudinka,69.4058,86.1778,-30.74,94,77,2.24,RU,1707614034
25,westport,41.1415,-73.3579,12.23,81,100,2.57,US,1707614030
26,vilyuchinsk,52.9306,158.4028,-7.85,63,57,3.57,RU,1707614034
27,utrik,11.2278,169.8474,26.07,70,100,9.05,MH,1707614034
28,waitangi,-43.9535,-176.5597,17.68,88,0,4.02,NZ,1707614034
29,olonkinbyen,70.9221,-8.7187,-3.35,64,100,5.96,SJ,1707614034
30,luanda,-8.8368,13.2343,27.0,89,75,0.0,AO,1707614034
31,petropavlovsk-kamchatsky,53.0452,158.6483,-8.67,32,0,7.0,RU,1707614034
